Team;Type;Rank;Date;Round;Venue;Scorer;Opponent;Start;xG;PSxG;Body Part;Distance;Minute;Score;Goalkeeper;Assist;GCA1;Type GCA1;GCA2;Type GCA2;Note;Motion
Bournemouth;Against;30;03/12/2023;Matchweek 14;Home;Ollie Watkins;Aston Villa;Y;0.07;0.46;Head;10;90;01-févr;Neto;Moussa Diaby;Moussa Diaby;Pass (Live);Pau Torres;Pass (Live);;In Game
Brentford;For;20;02/12/2023;Matchweek 14;Home;Neal Maupay;Luton Town;Y;0.54;0.89;Right Foot;6;49;0-0;Thomas Kaminski;;Ben Mee;Shot;;;;In Game
Brentford;For;21;02/12/2023;Matchweek 14;Home;Ben Mee;Luton Town;Y;0.07;0.06;Head;8;56;1-0;Thomas Kaminski;Bryan Mbeumo;Bryan Mbeumo;Pass (Dead);;;Deflected;Set Piece
Brentford;For;22;02/12/2023;Matchweek 14;Home;Shandon Baptiste;Luton Town;N;0.70;0.97;Right Foot;4;81;02-janv;Thomas Kaminski;;Keane Lewis-Potter;Shot;;;;In Game
Brentford;Against;19;02/12/2023;Matchweek 14;Home;Jacob Brown;Luton Town;N;0.09;0.15;Left Foot;21;76;0-2;Mark Flekken;;Amari'i Bell;Pass (Live);Gabriel Osho;Pass (Live);;In Game
Brighton;For;29;03/12/2023;Matchweek 14;Away;Facundo Buonanotte;Chelsea;Y;0.05;0.25;Left Foot;16;43;0-2;Robert Sánchez;Adam Lallana;Adam Lallana;Pass (Live);Simon Adingra;Pass (Live);;In Game
Brighton;For;30;03/12/2023;Matchweek 14;Away;João Pedro;Chelsea;N;0.21;0.95;Head;3;90+2;01-mars;Robert Sánchez;James Milner;James Milner;Pass (Dead);João Pedro;Shot;;Set Piece
Brighton;Against;24;03/12/2023;Matchweek 14;Away;Enzo Fernández;Chelsea;Y;0.46;0.58;Head;4;17;0-0;Jason Steele;Benoît Badiashile;Benoît Badiashile;Pass (Live);Conor Gallagher;Pass (Dead);;Set Piece
Brighton;Against;25;03/12/2023;Matchweek 14;Away;Levi Colwill;Chelsea;Y;0.25;0.37;Head;4;21;1-0;Jason Steele;Nicolas Jackson;Nicolas Jackson;Pass (Live);Conor Gallagher;Pass (Dead);;Set Piece
Brighton;Against;26;03/12/2023;Matchweek 14;Away;Enzo Fernández;Chelsea;Y;0.79;0.96;Right Foot;13;65;02-janv;Jason Steele;;Mykhailo Mudryk;Fouled;Nicolas Jackson;Pass (Live);;Penalty Kick
Burnley;For;16;02/12/2023;Matchweek 14;Home;Jay Rodriguez;Sheffield Utd;Y;0.12;0.71;Head;7;1;0-0;Wes Foderingham;Charlie Taylor;Charlie Taylor;Pass (Live);Zeki Amdouni;Take-On;Deflected;In Game
Burnley;For;17;02/12/2023;Matchweek 14;Home;Jacob Bruun Larsen;Sheffield Utd;Y;0.34;0.41;Left Foot;16;29;1-0;Wes Foderingham;Dara O'Shea;Dara O'Shea;Pass (Live);Vitinho;Pass (Live);;In Game
Burnley;For;18;02/12/2023;Matchweek 14;Home;Zeki Amdouni;Sheffield Utd;Y;0.07;0.70;Left Foot;14;73;2-0;Wes Foderingham;Jordan Beyer;Zeki Amdouni;Take-On;Jordan Beyer;Pass (Live);;In Game
Burnley;For;19;02/12/2023;Matchweek 14;Home;Luca Koleosho;Sheffield Utd;Y;0.12;0.19;Right Foot;13;75;3-0;Wes Foderingham;Zeki Amdouni;Zeki Amdouni;Pass (Live);Vitinho;Pass (Live);;In Game
Burnley;For;20;02/12/2023;Matchweek 14;Home;Josh Brownhill;Sheffield Utd;Y*;0.05;0.31;Right Foot;23;80;4-0;Wes Foderingham;;Michael Obafemi;Pass (Live);Nathan Redmond;Pass (Live);;In Game
